searchTerm,jobTitle,companyName,companyLocation,salary,hiddenSalary,jobType,jobDesc,url,companyRating
Data Engineer,Data Engineer - Entry / Mid Level,Itoc,Sydney NSW,,$80000-$89999,,"Work with a great team on interesting projects customers
Gain experience in AWS, Data, DevOps cloud operations
﻿Got a working knowledge of AWS? We will teach you the cool stuff!

Itoc is seeking an up and coming Data Engineer to join our growing Data Team in Sydney.

This is an exciting role working with databases, data lakes, data warehouses, data transformation (Python SQL) and AI/ML.

You will be implementing foundational, robust and production ready data platforms to enable business data-discovery, self-service, AI/ML functions across a range of client types and industries, allowing them to do more with their data.

You'll be responsible for:

Deploying data repositories such as lakes and warehouses.
Contribute to our growing portfolio of data solutions.
Ongoing optimisation and management of data platforms.
Development of transformational logic for data pipelines
Data evangelism. We want to show our clients how to follow the best practices for data.

Desired Skills and Experience

To take up the challenge, you will have a depth of skills and experience including:

1-2+ yrs of focused data experience working with SQL and/or NoSQL solutions
A solid education in Software Engineering or equivalent industry experience.
Anything Data focused preferred.
Ability to analyse business scenarios and associated data landscape to derive potential opportunities.
Strong foundation in Python and SQL
Working knowledge of APIs
Principle knowledge of the different relational database platforms and modern data storage techniques
Knowledge of the different aspects of data environments
Collect, store, process, verify consume
Experience with version management systems (such as GIT)
Working knowledge of AWS or another cloud platform - we will teach you the cool stuff.
Great communication skills, an ability to work closely with customers, developers and engineers and the confidence to present ideas in open forums.
Relevant tertiary qualifications and/or industry certifications.
Great communication skills, an ability to work closely with clients, developers and engineers and the confidence to present ideas in open forums.

While not required, a background in consulting and professional services is highly desirable.

Itoc Description

This is an exciting and challenging career opportunity to join the growing Sydney-based Data Team of a leading cloud solution provider where you will be given support to reach your long term career goals. You will be part of a team of cloud experts and will work in an environment of continuous improvement and learning delivering innovative cloud solutions across SaaS, online business and enterprise business.

On offer is a chance to join a team with a great working environment, in an organisation that values its employees and sees the value in ensuring they are engaged. Our team are clearly passionate about what they do, that's why we won the following awards:

Customer Obsession Partner of the Year 2015: ANZ Region
Customer Obsession Leadership Partner 2015: re:Invent

As an employer of choice Itoc offers competitive remuneration, training and development programs and a great working environment. We value a healthy work life balance.

The Perks

MacBook or Dell
Continuous internal learning that will provide training and career development opportunities
Working with a collaborative, social team and levelling-up your skills faster than you will anywhere else.
Quarterly social events

Itoc

Culture and smarts are important to us. Bring your secret sauce. This is no ordinary environment, you will work along some of the Cloud’s best. All engineers at Itoc must gain at least five AWS certifications. We work hard but we have fun.

Please note you must have full working rights in Australia and be available on-shore for face to face interviews.

No recruiters please.",https://au.indeed.com/rc/clk?jk=c6df06b4c8f1b910&fccid=77879ee83a4d5dfa&vjs=3,
Data Engineer,Junior Data Engineer,Luxury Escapes,South Melbourne VIC,,$80000-$89999,,"Luxury Escapes, winner of the Australian Travel Awards, 'Employer of Choice 2018', is one of the world's fastest growing travel businesses, reaching up to 3.2 million unique travellers each month with exclusive limited time offers at 'insider' prices.
We are currently looking for a Junior Data Engineer to support the Business Intelligence team in providing daily, weekly & monthly commercial and financial information that is forward thinking and value adding to Luxury Escapes.
Key to this position is the management of our data warehouse that enables automatic reporting and ad-hoc modelling to assist in providing financial and commercial information.
What you'll do:
Support the preparation of performance reporting for the group
Complete ad-hoc data queries
Assist in the development of budgets and forecasting
Reporting on key business drivers, analysis and commentary
Support in the preparation of financial and non-financial reports
Produce internal reporting for key stakeholders to support decision-making
Develop a strong knowledge of back end systems and data reporting capabilities
Ensure all data sources are managed correctly
What we are looking for:
Advanced knowledge of Microsoft Excel
Experience of dealing with large complex data sets using SQL
Expert knowledge of SQL query writing
Experience of working with large complex data and multiple data sources
A proactive attitude with the ability to work independently
Versatile and flexible approach to problem solving
Knowledge of Tableau
What's in it for you?
Fun, dynamic and fast paced work environment.
A truly collaborative team
Generous staff discount on travel deals.
First class health and well-being program including onsite massages, yoga, meditation, corporate gym memberships and daily breakfast
Fun & flexible working environment - work hard and play hard with 24/7 table tennis, Friday afternoon onsite gatherings (wine included!) and monthly celebration & recognition programs
If this sounds like you and you feel you have the skills and experience to meet the requirements of the role, please apply here today with your resume attached!
Direct applicants only, no international applicants or agency submissions please.",https://au.indeed.com/rc/clk?jk=7f88e48b7adb7a60&fccid=cede575025afad6a&vjs=3,4.7
Data Engineer,Data Engineer,Rheinmetall Defence Australia Pty Ltd,Adelaide SA,,$80000-$89999,,"WHY YOU SHOULD JOIN US
Are you looking for a new job that gives you excellent future prospects? Then you will find the Rheinmetall Group to be an attractive employer. When you work for us, you have more than a job. With your skills and ideas, you have the opportunity to make an impact.
SOLUTIONS FOR A CHANGING WORLD
Megatrends such as urbanization, climate change, and the increasing level of risk around the world are making the desire for mobility and security ever stronger. With our cutting-edge technologies in the automotive and defence sectors, we ensure the mobility and security of modern society.
Join us. Let us work together to devise solutions that turn change into opportunity.
WHAT WE ARE LOOKING FOR
RDA are supporting the Defence Science and Technology Group (DSTG) in a project (“Bright Fox”) to better understand and model the information processing of high performing Army commanders as they solve tactical planning problems.

 As part of this research, two sizeable datasets of unstructured and semi-structured text input have been generated, with one (Dataset A) capturing written thoughts from commanders as they work through tactical problems and the other (Dataset B) forming a large collection of documents and sources potentially relevant to commanders as they solve tactical problems. The data engineer will support the automated analysis and exploitation of both datasets as part of the Bright Fox project.

The duties and responsibilities of the Data Engineer include:

Gaining familiarity with existing RDA systems and research findings from the Bright Fox Project
Working with RDA and DSTG staff to identify objectives and system requirements for the analysis of Dataset A.
Identifying suitable NLP, text mining and topic modelling approaches to support the analysis of Dataset A.
Writing software to implement and rapid prototype these approaches on Dataset A.
Working with RDA and DSTG staff to identify objectives and system requirements for the exploitation of Dataset B, likely with particular focus on developing Question and Answer/relevant tract retrieval systems operating on the corpus as part of a broader Decision Support System.
Supporting the development of ontologies, knowledge structures and pre-processing pipelines to aid the exploitation of Dataset B.
Supporting the development of Graphical User Interfaces and interactive concepts for making the Dataset B search capability available for Army users.
Writing software to implement and rapid prototype these approaches on Dataset B.
Working with RDA and DSTG staff to support system testing with Army personnel.
Completion of assigned analysis and design tasks of varying size and complexity under the supervision of the assigned Project Manager
Customer liaison
Maintain strict confidentiality
Comply with RDA policies and improvements
Contribute to business improvement/quality programs and enterprise risk management activities
WHAT QUALIFICATIONS YOU SHOULD HAVE
Rheinmetall seeks applicants who exemplify our Company’s values of Respect, Trust and Transparency. This creates a workplace environment where employees value each other, live up to their promises and communicate openly.

The experience and skillset best suited to this role include:

Demonstrated knowledge and past experience working with contemporary NLP, topic modelling, text mining and text retrieval technologies.
Appropriate tertiary qualifications in computer science, software engineering, or other area where relevance and expertise for the required task is able to be demonstrated.
Demonstrated software engineering skills, including for Graphical User Interface Development.
Demonstrated ability to work in a research and development environment.
Demonstrated ability to work with new technologies while making sound engineering judgements and managing time and technical risk.
Demonstrated ability to work in a development team and communicate with stakeholder groups.
Knowledge of technologies related to word and sentence level embeddings in semantic space, including as they relate to text processing and retrieval.
Knowledge of databases and database management.
Ability to gain security clearance.
Willingness to work in a defence environment.
Ability to obtain a Security Clearance (Baseline or higher).


Additionally, it would be advantageous to have:

Knowledge of TensorFlow (Highly desirable)
Knowledge of Army operations at combat-team level and below
Existing NV1 Clearance

At Rheinmetall, your strengths and experience are worth something. We also highly value diversity and equal opportunity. We look forward to receiving your application.
WHAT WE OFFER YOU
Attractive Remuneration package, salary sacrificing & novated leases.
Strong links to our global Rheinmetall community.
Flexibility in workplace settings offering opportunities to work in multiple locations.
Corporate discounts with gyms, private health funds and various car dealerships.
Opportunity for career development and further training.
Employee Assistance Program to support our employees and their immediate families overall wellbeing.
WHO WE ARE
Rheinmetall Defence Australia (RDA) is a major Defence company with operations across Australia and New Zealand delivering specialist Defence capability to the Australian Defence Force and New Zealand Defence Force. RDA is a subsidiary of Rheinmetall Group, a global Defence and Automotive technology group based in Dusseldorf, Germany. RDA is a trusted partner to the ADF through its three divisions - Vehicle Systems, Electronics Solutions and Wepon and Ammunition. RDA is rapidly growing its Australian footprint to deliver system solutions and capabilty to the ADF in the areas of mobility, lethality, reconnaissance, protection and sustainment.
Rheinmetall recognises the strength that comes with employee diversity. We are commited to providing an inclusive work environment where each employee is treated fairly and respectfully. Diversity is critical to our ability to work sucessfully as a team regardless of borders, language or culture. Our workforce includes employees of varying gender, age, race and ethnicity, professional and cultural background.
Veterans are always encouraged to apply for roles at Rheinmetall where they can bring select skills and expertise to the delivery of products and services for our customer. Recognising these unique attributes, the Company has established a Veterans Employment Program that trains and supports veterans transitioning from the armed forces and seeking future employment in the commercial sector.
CONTACT INFORMATION
Michael Bernard

Recruitment Advisor

0438 833 043
ABOUT THE COMPANY
www.rheinmetall.com
or follow us on:
SHARE POSTING",https://au.indeed.com/rc/clk?jk=f9ce43c3958f28d9&fccid=76e224627c1e7164&vjs=3,
Data Engineer,Data Engineer,Rheinmetall Group,Adelaide SA,,$80000-$89999,,"WHAT WE ARE LOOKING FOR

RDA are supporting the Defence Science and Technology Group (DSTG) in a project (“Bright Fox”) to better understand and model the information processing of high performing Army commanders as they solve tactical planning problems.

 As part of this research, two sizeable datasets of unstructured and semi-structured text input have been generated, with one (Dataset A) capturing written thoughts from commanders as they work through tactical problems and the other (Dataset B) forming a large collection of documents and sources potentially relevant to commanders as they solve tactical problems. The data engineer will support the automated analysis and exploitation of both datasets as part of the Bright Fox project.

The duties and responsibilities of the Data Engineer include:

Gaining familiarity with existing RDA systems and research findings from the Bright Fox Project
Working with RDA and DSTG staff to identify objectives and system requirements for the analysis of Dataset A.
Identifying suitable NLP, text mining and topic modelling approaches to support the analysis of Dataset A.
Writing software to implement and rapid prototype these approaches on Dataset A.
Working with RDA and DSTG staff to identify objectives and system requirements for the exploitation of Dataset B, likely with particular focus on developing Question and Answer/relevant tract retrieval systems operating on the corpus as part of a broader Decision Support System.
Supporting the development of ontologies, knowledge structures and pre-processing pipelines to aid the exploitation of Dataset B.
Supporting the development of Graphical User Interfaces and interactive concepts for making the Dataset B search capability available for Army users.
Writing software to implement and rapid prototype these approaches on Dataset B.
Working with RDA and DSTG staff to support system testing with Army personnel.
Completion of assigned analysis and design tasks of varying size and complexity under the supervision of the assigned Project Manager
Customer liaison
Maintain strict confidentiality
Comply with RDA policies and improvements
Contribute to business improvement/quality programs and enterprise risk management activities

WHAT QUALIFICATIONS YOU SHOULD HAVE

Rheinmetall seeks applicants who exemplify our Company’s values of Respect, Trust and Transparency. This creates a workplace environment where employees value each other, live up to their promises and communicate openly.

The experience and skillset best suited to this role include:

Demonstrated knowledge and past experience working with contemporary NLP, topic modelling, text mining and text retrieval technologies.
Appropriate tertiary qualifications in computer science, software engineering, or other area where relevance and expertise for the required task is able to be demonstrated.
Demonstrated software engineering skills, including for Graphical User Interface Development.
Demonstrated ability to work in a research and development environment.
Demonstrated ability to work with new technologies while making sound engineering judgements and managing time and technical risk.
Demonstrated ability to work in a development team and communicate with stakeholder groups.
Knowledge of technologies related to word and sentence level embeddings in semantic space, including as they relate to text processing and retrieval.
Knowledge of databases and database management.
Ability to gain security clearance.
Willingness to work in a defence environment.
Ability to obtain a Security Clearance (Baseline or higher).


Additionally, it would be advantageous to have:

Knowledge of TensorFlow (Highly desirable)
Knowledge of Army operations at combat-team level and below
Existing NV1 Clearance

WHAT WE OFFER YOU

Attractive Remuneration package, salary sacrificing & novated leases.
Strong links to our global Rheinmetall community.
Flexibility in workplace settings offering opportunities to work in multiple locations.
Corporate discounts with gyms, private health funds and various car dealerships.
Opportunity for career development and further training.
Employee Assistance Program to support our employees and their immediate families overall wellbeing.

CONTACT INFORMATION

Michael Bernard

Recruitment Advisor

0438 833 043

ADDITIONAL INFORMATION

If you would like to express your interest in this role, please speak to your Line/Direct manager before applying. Please quote AU00065 in your application.

Applications will close on 28/02/2020.
Job Reference: AU00065",https://au.indeed.com/rc/clk?jk=687044a0ab1d86ae&fccid=76e224627c1e7164&vjs=3,
Data Engineer,Data Engineer,Nintex,Melbourne VIC,,$80000-$89999,,"About Nintex
------------------

Nintex is the world leader in Intelligent Process Automation. Ranked as one of 2019's ""Best Places to Work"" we're committed to providing an inclusive environment for all our employees. 

More than 8,000 clients across 90 countries use the Nintex Platform to accelerate their digital transformation journeys by quickly and easily managing, automating and optimising business processes. 

About the team:
---------------------

Our Melbourne office is our largest engineering hub; bringing together talented technical experts to develop the next generation of the Nintex platform. We pride ourselves on having a great culture and a focus on continuous innovation. Not to mention we're all about the cool tech. So, if you're interested in being part of creating the future of our product keep reading. 

About the role:
---------------------

This is a role for the problem-solvers, creators, the data engineers that like building things from the ground up. We're looking for someone who already has solid experience and is ready to take their skills and career to the next level!

You'll work on the next generation of our analytics and AI product, where you will spend most of your time working on ETL's, Data Ingestion, Apache Spark, Scala and mentoring other members of the team to design and implement our Analytics and AI/ML powered features

About You:
----------------


You are passionate about technology and take ownership of your work.
Hands-on expertise with Apache Spark, Scala and Spark SQL
Experience in data munging, manipulation, cleansing and blending from multiple data sources and exposure to various data types and storage paradigms
You have strong understanding of software development patterns & practices and their values 
You are a team player and can communicate and work with the other teams to deliver your objectives
Experience with Databricks, Azure and Python will be a bonus

What's in it for you:
---------------------------------

In addition to a highly competitive salary and benefits package, you'll work alongside inspiring colleagues and a leadership team that genuinely cares. We do our best to support our employees in their career journey. This includes providing benefits that matter, such as flexible work arrangements, paid parental leave for primary and secondary carers, employee assistance programs, discounts on gym memberships and across life's essentials. Not to mention, we have a pretty cool office with all the frills, including unlimited snacks, Friday nights drinks and monthly breakfasts.",https://au.indeed.com/rc/clk?jk=cfb08511dcdf86ae&fccid=945eb3ef7cf97517&vjs=3,
Data Engineer,Data Engineer Melbourne,Onset,Sydney NSW,,$80000-$89999,Permanent,"Many organisations talk about data analytics and really have no idea about it. Even more these days talk about Data Engineering, Machine Learning and Distributed Systems and don't really do any of it.

Please rest assured the above is not the case as we are talking about a ""specialist"" here. A data consulting business working with robust corporate customers across Australia, NZ, SEA and the UK.

Here there is a culture of ongoing education, team, customer centricity and early adoption of data analytics technologies (specifically cloud-centric).

The head office operates very much as the central HQ for all consultants, so you'll spend a few times a week here. Most of your time, however, will be spent on client sites; ranging from banks and retailers to global technology companies (some pretty cool ones).

We're not going to list every Data Engineering tech under the sun here, but if you have experience with AWS, GCP environments, Spark, SQL and languages such as Python, Go and Scala then you may very well be a fit for some solid projects here.

We are also open to candidates who have some data engineering experience and are looking to step into their first ""pure"" data engineer role. But naturally, if you are a Data Engineer already, then absolutely we'd love to hear from you.

Give Tasha a call on 0434 073 342 if you'd like to learn more or (ideally) shoot your cv to tasha@theonset.com.au and we can schedule a chat.",https://au.indeed.com/rc/clk?jk=8b07bb9b4ba86dee&fccid=59e3633fa27cbc3d&vjs=3,
Data Engineer,Spatial and Data Analyst,Arup,Sydney NSW,,$80000-$89999,,"A career at Arup offers you the chance to make a positive difference in the world. Independently owned and independently minded, Arup is the creative force at the heart of many of the world’s most prominent projects in the built environment. We offer a broad range of professional services that combine to make a real difference to our clients and the communities in which we work.

We are truly global, and our 15,000 planners, designers, engineers and consultants around the world deliver innovative projects with creativity and passion.

About you
To be successful in this role you will be able to provide Spatial and Data Engineering expertise on cross-disciplinary engineering, planning and environmental projects.
You will ideally have:
More than 5 years’ experience as a Spatial or Data Engineer and tertiary qualifications in Science/Engineering or similar with high level of experience in spatial technologies or computer science.Advanced experience of ESRI Products, QGIS, MapInfo or related technical software packages.Excellent experience in ESRI ArcGIS Enterprise/Portal and FME.Customisation of ArcGIS Javascript API and custom web application and good general IT technical skills.Knowledge of databases and database querying, especially SQL database.Awareness in cross functional software such as 12D, Autodesk software, Bentley software.Demonstrated ability to be a team player and comfortable with working in a team environment.Well-developed communication and interpersonal skills.Ability to relate and work well with people at all levels within the team and within the wider office, as well as externally with clients.Desire to learn on emerging technologies and open to sharing ideas.

About the role
The key focus of this role will cover a broad range of skills relating to the delivery of major projects as part of NSW Transport, Environment and Resources.
In this role you will:
Provide technical advice and services to team members across projects and a variety of disciplines.Maintain knowledge of current and future emerging technologies.Provide on-going support for the wider group in the use of ArcGIS Products, ArcGIS. Enterprise/Portal and Feature Manipulation Engine (FME).Prepare data standards, schemas and apply them to projects.Work on ground-breaking projects, enjoy quality mentoring from top professionals, and be exposed to all sorts of challenges with individually tailored support to ensure you succeed.Work under minimal supervision within a defined area of responsibility. This may include being responsible for specific parts of an external design project.Be responsible for checking the quality and accuracy of own and others work. Furthermore, you may be responsible for the development of others through providing guidance, training and feedback.Work will encompass authoring non-standard workflow and other documentation.
The people at Arup are driven to find a better way and to deliver better solutions for our clients.
We offer a competitive remuneration package commensurate with qualifications and experience to the right candidate including a global profit share scheme, excellent staff benefits and long-term career development opportunities.
We welcome applications from a diverse group of people, including those who are seeking flexible working, have accessibility needs, want to bring their whole selves to work, and can enrich our workforce with cultural diversity.

If you are interested in helping us shape a better world, please click “Apply Now” to submit your online application.",https://au.indeed.com/rc/clk?jk=6ceeffd6cf56503e&fccid=38c0d5e4f2a99768&vjs=3,4.1
Data Engineer,Data Engineer - Brisbane,Flight Centre Technology,Brisbane QLD,,$80000-$89999,,"Job no: 505723
Brand: Flight Centre Technology
Work type: Full time
Location: Queensland
Categories: Information & Technology

Job Purpose:

As the Data Engineer working for our Shared Services Data team, your role will be working on new and exciting Advanced Data Analytics projects running in the Azure Cortana Intelligence Suite.

Main Responsibilities:

Designing new advanced analytics software solutions
Providing technical guidance and into the development of migration plans to bring existing traditional data warehouse assets SSIS and SQL Server from on premise environments into our Big Data Cloud Platform
Write SQL to create easily consumable datasets for team-members' use in reporting and analysis
Analysis, design, coding, performance tuning, and implementation of new solutions
Fostering and growing collaborative relationships with a growing group of distributed data analytics hubs across the business
Transform and manipulate the large data-sets to suit the desired analysis
Create and present clear oral and written reports on the findings

Key Skills and Experience:

Bachelor or Masters Degree in Mathematics, Statistics or Computer Science
2+ years of Data Engineering experience
Experience with relational databases
Demonstrated use of data management tools such as Cortana Intelligence Suite, DataBricks, and Apache Spark
Prior experience with Azure or AWS

What's in it for you?

Travel discounts, in-house financial and health services, access to internal 24/7 gym
Global career opportunities in a network of brands and businesses
Ongoing training and professional development
Fun and flexible work environment
Proud Corporate Social Responsibility platform through the Flight Centre Foundation, Responsible Travel Charter, and Brighter Futures programs
Monthly awards nights, conferences, industry/social events, and the opportunity to attend global awards internationally

We’re proud to have been recognised as an Employer of Choice in the Australian Business Awards 2018, in addition to Best Agency Group at the AFTA 2018 National Travel Industry Awards",https://au.indeed.com/rc/clk?jk=6915d73535b7dd2f&fccid=249dc1a2c75a0223&vjs=3,3.4
Data Engineer,Junior-Mid Level Data Engineer,FutureYou,Melbourne VIC,"$80,000 - $90,000 a year",$80000-$89999,Permanent,"I am currently recruiting for a Junior/ Mid-level Data Engineer to work for an organisation who have just put significant investment into their Data strategy and have implemented AWS and are processing large volums of Data with Redshift.

Within this position you will support a specilist BI Vendor in developing Data engineering solutions and build an in house capability for an organisation who would like to utilise data to build a complete product and new revenue stream. Whilst be provided the opportunity to assist the Head of Data with a strategy for the future state of advanced analytics.

To Be Successful you will possess:
AWS hands on experience
2 years commercial experience
Passion to work in a data driven industry
Be able to communicate with stakeholders across the organisation
For immediate consideration please apply",https://au.indeed.com/rc/clk?jk=54d3669f171bb6db&fccid=19c455e48370b21e&vjs=3,4.5
Data Engineer,Data Engineer - early career - big data,MCS Consulting,Northern Beaches NSW,"$80,000 - $95,000 a year",$80000-$89999,,"We want curiosity and inventiveness
Opportunity to improve your professional skills
Work with highly motivated and experienced engineers
This is Australian technology on a global scale: join a company that is mastering the problems of speed and scalability. The team is providing time-critical services to major players in the tech world and doing so frictionlessly.
You can help provide integration of services and give high quality diagnostic information to clients: this is your chance to gain big data experience and work with technologies like Kafka and Kubernetes.
REQUIREMENTS
Bachelor of Computer Science or equivalent qualification in a related field
A strong interest in new algorithms and technology
Coding skills in Java and related frameworks
Knowledge of SQL and NoSQL databases
Sound understanding of scalable architectures
Excellent troubleshooting skills and an ability to fix problems fast
This is a role which can provide the serious challenge that every ambitious engineer needs. Apply now for a role that can really put a shine on your career!
MCS Consulting has been a trusted Recruitment advocate for over 25 years to many companies in high value Manufacturing, Finance, R&D, IT&T and Government.

We have an effective personal and honest approach that really makes the difference.

Kevin Moore ; 02-9481 8888 job KM:Phrenic. SK923550A

Please send your resume ASAP


A WORD CV IS ESSENTIAL !

A Suburb/Address helps us locate you for roles close to home and often unlocks those hidden jobs.


www.mcs-consulting.com.au

We are more than happy to discuss career aspirations.
At MCS we are here to help, not just recruit

7817381",https://au.indeed.com/rc/clk?jk=d86720e827498df4&fccid=1f129dad7c6d035f&vjs=3,
Data Engineer,Infrastructure Engineer,Veolia,Sydney NSW,,$80000-$89999,,"As an Infrastructure Cloud Engineer you will play a key role in designing, supporting and managing our Infrastructure services to meet Veolia’s business requirements. You will be part of a dynamic and agile team supporting a fast-paced on-premise/cloud environment that delivers services to a large user base across Australia and New Zealand. You will be providing a mixture of 2nd/3rd level support, preventative support as well as participation in project activities.


You’re a strong communicator, with an analytical mindset who thrives in a technical environment. A team player at heart, you collaborate with others, advocate best practices and roll up your sleeves to pitch in when it's all hands on deck. You move fast while keeping your attention to detail, and you tap into your problem-solving skills to support our Veolia ANZ business objectives


Key responsibilities will include:

Design and build of virtualized desktop and application environments (Citrix XenApp) on public and private cloud platforms (AWS & VMware)
Manage and administer Citrix XenApp environment and emerging EUC/workspace technologies
Experience with designing and migrating workloads and applications into public cloud
Drive automation/orchestration in cloud/infrastructure services, application packaging with appropriate processes and tools such as Terraform, Packer, Nuget, Scripting etc
Experience with application deployment, troubleshooting and publishing is an added advantage
Providing support and maintenance of core infrastructure Services (Active Directory, Group Policies, DFS etc) based on Microsoft technologies
Ability to multi-task with various infrastructure projects and operational aspects (monitoring, backups, security etc)
Act as an escalation point for 2nd/3rd level technical support requests and ensure resolution
Effective presentation, documentation and communication skills. Mentor and share knowledge with the wider team
Ensure adherence to Veolia’s ITSM/ITIL process and procedures
Qualifications
What you’ll need to be successful:

Bachelor degree in Computer Science or similar
Certification and experience with Citrix XenApp and other remote access solutions
Experience and certification - Cloud Infrastructure (AWS)
Experience with Hypervisors (VMware) and storage arrays
Experience with highly scalable and available Infrastructure Architectures
Able to work autonomously and deliver to agreed outcomes
Clear communicator and creative thinker
Passionate about running and supporting internal IT platforms
A self-starter who actions with agility
Broad experience on analysing, troubleshooting and providing solutions for technical issues
Strong multitasking skills, and dealing with conflicting priorities
What You’ll Get From Us


We realise exceptional people don’t choose jobs based solely on benefits, but we do our best to make sure that you’re set up for success so you can do your best work. We offer ongoing training and development to pursue individual ambitions, opportunity to join our Green team and be a member of a company committed to sustainable practices, fully stocked kitchens with fruit, biscuits, nuts and choice of beverages and on-site gym. Our incredible employees thrive off our community spirit, participating in team events, office morning teas, monthly drinks, a social club, paid volunteer days.


About us


Fuelled by the huge challenges our planet is facing and the acceleration of climate change, Veolia aspires to deliver improved sustainability outcomes for ourselves, our customers and our communities throughout our global locations via our 171,000 employees in the Waste, Water and Energy sectors.


Headquartered in Paris, growth, innovation, safety and sustainability are our highest priorities, which is reflected in our company culture.


Our ANZ awards include


Winner 2017 Canstar Blue Most Satisfied Customers Award - Waste Management Services

Winner 2016 Australian Business Award for Community Contribution

Winner 2016 Australian Business Award for Sustainability


At Veolia we value diversity, equality and inclusion, we are committed to providing working environments where everyone is included and treated fairly and with respect. We welcome and encourage people of Aboriginal and Torres Strait Islander descent and people from diverse backgrounds to apply



#LI-DC1
Job
 IT / IS System / Network / Telecom / Data Engineer
Primary Location
 Australia-New South Wales-Sydney
Job Posting
 Jan 21, 2020, 1:17:31 AM
Job Type
 Standard -
Schedule
 Full-time
Job Level
 Non-Management
Education Level BA/BSc Degree or equivalent",https://au.indeed.com/rc/clk?jk=3b3f86cd2cac7a21&fccid=28ee277926be0542&vjs=3,3.6
Data Engineer,Consultant | Cloud Data Engineer,Servian,Brisbane QLD,,$80000-$89999,Permanent,"About you...

As a skilled Cloud Data Engineer, you bring hands-on experience working with Amazon Web Services (AWS), Google Cloud Platform (GCP) or Microsoft Azure.

Your experience in cloud spans from architectural understanding of the platforms’ offerings to infrastructure, and deployment pipelines. Your hands-on experience has reinforced your knowledge of cloud products and services, alongside your understanding of industry trends and best practices.

A willingness to learn emerging technologies in Cloud - you have a keen desire to learn and acquire new skills at every opportunity.

The opportunity...

This is a great opportunity for an experienced Cloud Data Engineering enthusiast to join a consulting firm that offers a variety of projects with structured learning and development paths.

You will work alongside a talented team of Consultants who share your passion in building great solution. This could include...

Cloud Migrations and Formation
Technical expertise in Application Migration Strategies - ie. Rehost vs. Replatform vs. Refactor
Experience implementing/migrating Cloud on an Enterprise systems scale
Containerized microservices scaling on demand
Real-time machine learning models, AI decision engines and chatbots
Serverless data pipelines handling thousands of records per second
Zero-outage deployments of mission critical applications through CI/CD

Benefits and Perks...
Learning & Development: we offer a wide range of internal training, Udemy license, and abide by a 'You Pass We Pay' policy.
Career progression: as a consulting firm which has huge growth plans over the next 2 years, our leadership team is continually looking for technologists who want to develop their careers as people leaders and as senior advisors.
Sociable workplace that values its diversity: 4 annual company events and regular social catch-ups. You'll be part of a very friendly bunch!
About Servian...

Servian is a consultant led organisation. We invest heavily in our consultants to ensure they have the technical skills and commercial acumen to be successful in their work.

Our consultants have a passion for solving complex problems. They are curious, ambitious and experts in their fields. We have developed a first-rate team so you will be supported and learn from the best.

Our business is structured across 5 main pillars:
Data & Analytics - BI/DWH, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics
Customer Engagement - Marketing Campaigns, Campaign Analysis, Customer Insights
Digital - Full Stack Development, UI/UX Design, Mobile Development, API Development
Artificial Intelligence - Natural Language Processing, Computer Vision, Machine Learning
Cloud & Technology - Cloud Services (AWS, Azure, Google Cloud Platform)

Apply today!",https://au.indeed.com/rc/clk?jk=1d956bec767115e2&fccid=93e5617653014982&vjs=3,3.7
